Schulnummer,Schultyp,Name,Straße,PLZ,Ort,Link
"1899",Gewerbliche Fachschulen,Technikerschule der Stadt Ingolstadt Fachschule für Maschinenbau und Elektrotechnik,Adolf-Kolping-Str. 9,85049,Ingolstadt,https://www.km.bayern.de/schule/1899
"0123",Gymnasium,Reuchlin-Gymnasium Ingolstadt,Gymnasiumstr. 15,85049,Ingolstadt,https://www.km.bayern.de/schule/0123
"0125",Gymnasium,Katharinen-Gymnasium Ingolstadt,Jesuitenstr. 10,85049,Ingolstadt,https://www.km.bayern.de/schule/0125
"0124",Gymnasium,Christoph-Scheiner-Gymnasium Ingolstadt,Hartmannplatz 1,85049,Ingolstadt,https://www.km.bayern.de/schule/0124
"0126",Gymnasium,Gnadenthal-Gymnasium Ingolstadt der Diözese Eichstätt,Kupferstr. 23,85049,Ingolstadt,https://www.km.bayern.de/schule/0126
"1569",Berufsschule,Staatliche Berufsschule I Ingolstadt,Adolf-Kolping-Str. 11,85049,Ingolstadt,https://www.km.bayern.de/schule/1569
"1787",Berufsfachschulen f. Fremdsprachenberufe,Private Berufsfachschule für Fremdsprachenberufe des Schulvereins inlingua Ingolstadt,Ludwigstr. 18,85049,Ingolstadt,https://www.km.bayern.de/schule/1787
"1745",BFS hausw. gastgew. und soziale Berufe,Private Berufsfachschule für Ernährung und Versorgung d. Gem.Gesellsch.f.soz.Dienste Ingolstadt,Anatomiestr. 12,85049,Ingolstadt,https://www.km.bayern.de/schule/1745
"1469",BFS hausw. gastgew. und soziale Berufe,Private Berufsfachschule für Kinderpflege d. Gemeinn.Gesellsch. für soz. Dienste Ingolstadt,Anatomiestr. 12,85049,Ingolstadt,https://www.km.bayern.de/schule/1469
"1491",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Krankenpflegehilfe des Krankenhauszweckverbandes am Klinikum Ingolstadt,Krumenauerstr. 23,85049,Ingolstadt,https://www.km.bayern.de/schule/1491
"1487",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Hebammen d. Krankenhauszweckverbands Ingolstadt am Klinikum,Krumenauerstr. 23,85049,Ingolstadt,https://www.km.bayern.de/schule/1487
